Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
8,Travis Kelce*\KelcTr00,KAN,30,TE,16,16,136,97,71.3%,1229,12.7,5,65,47,9.0,6.1,76.8,1
12,Darren Waller\WallDa01,OAK,27,TE,16,16,117,90,76.9%,1145,12.7,3,53,75,9.8,5.6,71.6,1
14,Zach Ertz*\ErtzZa00,PHI,29,TE,15,15,135,88,65.2%,916,10.4,6,50,30,6.8,5.9,61.1,1
17,George Kittle*+\KittGe00,SFO,26,TE,14,14,107,85,79.4%,1053,12.4,5,53,61,9.8,6.1,75.2,1
27,Austin Hooper*\HoopAu00,ATL,25,TE,13,10,97,75,77.3%,787,10.5,6,41,35,8.1,5.8,60.5,0
34,Tyler Higbee\HigbTy00,LAR,26,TE,15,15,89,69,77.5%,734,10.6,3,36,33,8.2,4.6,48.9,0
46,Jason Witten\WittJa00,DAL,37,TE,16,16,83,63,75.9%,529,8.4,4,27,33,6.4,3.9,33.1,1
52,Dallas Goedert\GoedDa00,PHI,24,TE,15,9,87,58,66.7%,607,10.5,5,33,28,7.0,3.9,40.5,2
59,Hunter Henry\HenrHu00,LAC,25,TE,12,12,76,55,72.4%,652,11.9,5,36,30,8.6,4.6,54.3,1
67,Greg Olsen\OlseGr00,CAR,34,TE,14,14,82,52,63.4%,597,11.5,2,34,41,7.3,3.7,42.6,0
69,Mike Gesicki\GesiMi00,MIA,24,te,16,5,89,51,57.3%,570,11.2,5,25,34,6.4,3.2,35.6,1
83,Evan Engram\EngrEv00,NYG,25,TE,8,6,68,44,64.7%,467,10.6,3,23,75,6.9,5.5,58.4,0
87,Jared Cook*\CookJa02,NOR,32,te,14,7,65,43,66.2%,705,16.4,9,32,61,10.8,3.1,50.4,0
89,Jack Doyle*\DoylJa00,IND,29,TE,16,16,72,43,59.7%,448,10.4,4,29,23,6.2,2.7,28.0,1
90,Tyler Eifert\EifeTy00,CIN,29,/te,16,4,63,43,68.3%,436,10.1,3,24,27,6.9,2.7,27.3,0
102,Noah Fant\FantNo00,DEN,22,TE,16,11,66,40,60.6%,562,14.1,3,23,75,8.5,2.5,35.1,1
106,Kyle Rudolph\RudoKy00,MIN,30,TE,16,16,48,39,81.3%,367,9.4,6,24,32,7.6,2.4,22.9,0
108,Jimmy Graham\GrahJi00,GNB,33,TE,16,10,60,38,63.3%,447,11.8,3,23,48,7.5,2.4,27.9,1
109,Vance McDonald\McDoVa00,PIT,29,TE,14,14,55,38,69.1%,273,7.2,3,12,22,5.0,2.7,19.5,1
114,Jordan Akins\AkinJo00,HOU,27,TE,16,9,55,36,65.5%,418,11.6,2,21,53,7.6,2.3,26.1,0
115,Cameron Brate\BratCa00,TAM,28,TE,16,6,55,36,65.5%,311,8.6,4,21,37,5.7,2.3,19.4,0
127,Jonnu Smith\SmitJo01,TEN,24,TE,16,14,44,35,79.5%,439,12.5,3,16,57,10.0,2.2,27.4,0
130,Darren Fells\FellDa01,HOU,33,TE,16,14,48,34,70.8%,341,10.0,7,22,24,7.1,2.1,21.3,0
