Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
1,Michael Thomas*+\ThomMi05,NOR,26,WR,16,15,185,149,80.5%,1725,11.6,9,91,49,9.3,9.3,107.8,1
3,Keenan Allen*\AlleKe00,LAC,27,WR,16,16,149,104,69.8%,1199,11.5,6,63,45,8.0,6.5,74.9,0
4,DeAndre Hopkins*+\HopkDe00,HOU,27,WR,15,15,150,104,69.3%,1165,11.2,7,68,43,7.8,6.9,77.7,0
5,Julian Edelman\EdelJu00,NWE,33,WR,16,13,153,100,65.4%,1117,11.2,6,54,44,7.3,6.3,69.8,3
6,Julio Jones *\JoneJu02,ATL,30,WR,15,15,157,99,63.1%,1394,14.1,6,77,54,8.9,6.6,92.9,1
7,Allen Robinson\RobiAl02,CHI,26,WR,16,15,154,98,63.6%,1147,11.7,7,63,49,7.4,6.1,71.7,0
9,Cooper Kupp\KuppCo00,LAR,26,WR,16,14,134,94,70.1%,1161,12.4,10,51,66,8.7,5.9,72.6,3
11,Tyler Boyd\BoydTy00,CIN,25,WR,16,15,148,90,60.8%,1046,11.6,5,51,47,7.1,5.6,65.4,2
13,Robert Woods\WoodRo02,LAR,27,WR,15,15,139,90,64.7%,1134,12.6,2,54,48,8.2,6.0,75.6,0
15,D.J. Moore\MoorD.00,CAR,22,WR,15,15,135,87,64.4%,1175,13.5,4,63,52,8.7,5.8,78.3,2
16,Chris Godwin*\GodwCh00,TAM,23,WR,14,14,121,86,71.1%,1333,15.5,9,63,71,11.0,6.1,95.2,0
18,Davante Adams*\AdamDa01,GNB,27,WR,12,12,127,83,65.4%,997,12.0,5,54,58,7.9,6.9,83.1,2
19,Jarvis Landry*\LandJa00,CLE,27,WR,16,16,138,83,60.1%,1174,14.1,6,55,65,8.5,5.2,73.4,0
20,Tyler Lockett\LockTy00,SEA,27,WR,16,16,110,82,74.5%,1057,12.9,8,53,44,9.6,5.1,66.1,1
23,Amari Cooper*\CoopAm00,DAL,25,WR,16,16,119,79,66.4%,1189,15.1,8,54,53,10.0,4.9,74.3,0
24,Jamison Crowder\CrowJa00,NYJ,26,WR,16,12,122,78,63.9%,833,10.7,6,41,41,6.8,4.9,52.1,0
26,Larry Fitzgerald\FitzLa00,ARI,36,WR,16,16,109,75,68.8%,804,10.7,4,40,54,7.4,4.7,50.3,1
28,Odell Beckham Jr.\BeckOd00,CLE,27,WR,16,15,133,74,55.6%,1035,14.0,4,44,89,7.8,4.6,64.7,1
29,DJ Chark*\CharDJ00,JAX,23,WR,15,14,118,73,61.9%,1008,13.8,8,42,69,8.5,4.9,67.2,0
30,John Brown\BrowJo02,BUF,29,WR,15,15,115,72,62.6%,1060,14.7,6,53,53,9.2,4.8,70.7,0
31,DeVante Parker\ParkDe01,MIA,26,WR,16,14,128,72,56.3%,1202,16.7,9,58,51,9.4,4.5,75.1,0
32,Courtland Sutton *\SuttCo00,DEN,24,WR,16,14,124,72,58.1%,1112,15.4,6,50,70,9.0,4.5,69.5,2
35,Christian Kirk\KirkCh01,ARI,23,WR,13,13,108,68,63.0%,709,10.4,3,31,69,6.6,5.2,54.5,0
36,Cole Beasley\BeasCo00,BUF,30,WR,15,10,106,67,63.2%,778,11.6,6,37,51,7.3,4.5,51.9,0
37,Mike Evans*\EvanMi00,TAM,26,WR,13,13,118,67,56.8%,1157,17.3,8,54,67,9.8,5.2,89.0,0
39,Michael Gallup\GallMi00,DAL,23,WR,14,12,113,66,58.4%,1107,16.8,6,50,62,9.8,4.7,79.1,0
41,Dede Westbrook\WestDe00,JAX,26,WR,15,11,101,66,65.3%,660,10.0,3,31,39,6.5,4.4,44.0,1
42,Kenny Golladay*\GollKe00,DET,26,WR,16,16,116,65,56.0%,1190,18.3,11,52,75,10.3,4.1,74.4,1
44,Stefon Diggs\DiggSt00,MIN,26,WR,15,15,94,63,67.0%,1130,17.9,6,41,66,12.0,4.2,75.3,4
45,Calvin Ridley\RidlCa00,ATL,25,WR,13,10,93,63,67.7%,866,13.7,7,47,36,9.3,4.8,66.6,0
47,Danny Amendola\AmenDa00,DET,34,WR,15,10,97,62,63.9%,678,10.9,1,36,47,7.0,4.1,45.2,0
48,Marvin Jones\JoneMa02,DET,29,WR,13,11,91,62,68.1%,779,12.6,9,41,47,8.6,4.8,59.9,0
50,Diontae Johnson\JohnDi01,PIT,23,WR,16,12,92,59,64.1%,680,11.5,5,31,45,7.4,3.7,42.5,5
53,Tyreek Hill*\HillTy00,KAN,25,WR,12,12,89,58,65.2%,860,14.8,7,39,57,9.7,4.8,71.7,0
54,Terry McLaurin\McLaTe00,WAS,24,WR,14,14,93,58,62.4%,919,15.8,7,43,75,9.9,4.1,65.6,0
55,D.K. Metcalf\MetcDK00,SEA,22,WR,16,15,100,58,58.0%,900,15.5,7,39,54,9.0,3.6,56.3,3
56,Deebo Samuel\SamuDe00,SFO,23,WR,15,11,81,57,70.4%,802,14.1,3,32,42,9.9,3.8,53.5,2
57,Sterling Shepard\ShepSt00,NYG,26,WR,10,10,83,57,68.7%,576,10.1,3,29,36,6.9,5.7,57.6,0
58,Randall Cobb\CobbRa00,DAL,29,wr,15,6,83,55,66.3%,828,15.1,3,41,59,10.0,3.7,55.2,2
61,Curtis Samuel\SamuCu00,CAR,23,WR,16,15,105,54,51.4%,627,11.6,6,36,44,6.0,3.4,39.2,0
63,Robby Anderson\AndeRo04,NYJ,26,WR,16,15,96,52,54.2%,779,15.0,5,35,92,8.1,3.3,48.7,1
65,A.J. Brown\BrowAJ00,TEN,22,WR,16,11,84,52,61.9%,1051,20.2,8,39,91,12.5,3.3,65.7,1
